spec,date,count,date_count,freq,year,month
mobile,2020-05-01,19,335,5.67%,2020,05
administrator,2020-06-01,169,337,50.15%,2020,06
backend,2020-06-01,85,337,25.22%,2020,06
data science,2020-06-01,2,337,0.59%,2020,06
devops,2020-06-01,25,337,7.42%,2020,06
frontend,2020-06-01,37,337,10.98%,2020,06
game developer,2020-06-01,7,337,2.08%,2020,06
mobile,2020-06-01,12,337,3.56%,2020,06
administrator,2020-07-01,356,904,39.38%,2020,07
backend,2020-07-01,264,904,29.2%,2020,07
data science,2020-07-01,6,904,0.66%,2020,07
devops,2020-07-01,58,904,6.42%,2020,07
frontend,2020-07-01,172,904,19.03%,2020,07
game developer,2020-07-01,5,904,0.55%,2020,07
mobile,2020-07-01,43,904,4.76%,2020,07
administrator,2020-08-01,362,1352,26.78%,2020,08
backend,2020-08-01,261,1352,19.3%,2020,08
data science,2020-08-01,8,1352,0.59%,2020,08
devops,2020-08-01,71,1352,5.25%,2020,08
frontend,2020-08-01,606,1352,44.82%,2020,08
game developer,2020-08-01,3,1352,0.22%,2020,08
mobile,2020-08-01,41,1352,3.03%,2020,08
administrator,2020-09-01,833,1373,60.67%,2020,09
backend,2020-09-01,274,1373,19.96%,2020,09
data science,2020-09-01,4,1373,0.29%,2020,09
devops,2020-09-01,56,1373,4.08%,2020,09
frontend,2020-09-01,130,1373,9.47%,2020,09
game developer,2020-09-01,29,1373,2.11%,2020,09
mobile,2020-09-01,47,1373,3.42%,2020,09
administrator,2020-10-01,1155,2552,45.26%,2020,10
backend,2020-10-01,943,2552,36.95%,2020,10
data science,2020-10-01,12,2552,0.47%,2020,10
devops,2020-10-01,88,2552,3.45%,2020,10
frontend,2020-10-01,270,2552,10.58%,2020,10
game developer,2020-10-01,9,2552,0.35%,2020,10
mobile,2020-10-01,75,2552,2.94%,2020,10
