spec,date,tags,year,month
administrator,2018-08-01,"[{""tech"": ""windows"", ""freq"": ""64.47%""}, {""tech"": ""sql"", ""freq"": ""48.48%""}, {""tech"": ""server"", ""freq"": ""38.32%""}, {""tech"": ""ip"", ""freq"": ""22.34%""}, {""tech"": ""dns"", ""freq"": ""20.81%""}, {""tech"": ""linux"", ""freq"": ""20.56%""}, {""tech"": ""directory"", ""freq"": ""13.45%""}, {""tech"": ""tcp"", ""freq"": ""11.68%""}, {""tech"": ""vpn"", ""freq"": ""7.36%""}, {""tech"": ""web"", ""freq"": ""7.11%""}]",2018,08
administrator,2018-09-01,"[{""tech"": ""windows"", ""freq"": ""63.8%""}, {""tech"": ""sql"", ""freq"": ""40.65%""}, {""tech"": ""server"", ""freq"": ""34.12%""}, {""tech"": ""ip"", ""freq"": ""24.33%""}, {""tech"": ""dns"", ""freq"": ""21.96%""}, {""tech"": ""linux"", ""freq"": ""20.18%""}, {""tech"": ""tcp"", ""freq"": ""16.62%""}, {""tech"": ""directory"", ""freq"": ""16.32%""}, {""tech"": ""excel"", ""freq"": ""8.01%""}, {""tech"": ""vpn"", ""freq"": ""6.82%""}]",2018,09
administrator,2018-10-01,"[{""tech"": ""windows"", ""freq"": ""64.11%""}, {""tech"": ""sql"", ""freq"": ""45.54%""}, {""tech"": ""server"", ""freq"": ""34.41%""}, {""tech"": ""ip"", ""freq"": ""21.78%""}, {""tech"": ""dns"", ""freq"": ""17.82%""}, {""tech"": ""linux"", ""freq"": ""17.33%""}, {""tech"": ""tcp"", ""freq"": ""11.63%""}, {""tech"": ""directory"", ""freq"": ""10.15%""}, {""tech"": ""vpn"", ""freq"": ""7.43%""}, {""tech"": ""web"", ""freq"": ""6.68%""}]",2018,10
administrator,2018-11-01,"[{""tech"": ""windows"", ""freq"": ""56.99%""}, {""tech"": ""sql"", ""freq"": ""45.75%""}, {""tech"": ""server"", ""freq"": ""27.67%""}, {""tech"": ""linux"", ""freq"": ""22.19%""}, {""tech"": ""ip"", ""freq"": ""22.19%""}, {""tech"": ""dns"", ""freq"": ""16.71%""}, {""tech"": ""tcp"", ""freq"": ""13.97%""}, {""tech"": ""directory"", ""freq"": ""10.41%""}, {""tech"": ""oracle"", ""freq"": ""7.4%""}, {""tech"": ""excel"", ""freq"": ""6.3%""}]",2018,11
administrator,2018-12-01,"[{""tech"": ""windows"", ""freq"": ""63.08%""}, {""tech"": ""sql"", ""freq"": ""42.46%""}, {""tech"": ""server"", ""freq"": ""27.69%""}, {""tech"": ""ip"", ""freq"": ""23.69%""}, {""tech"": ""linux"", ""freq"": ""22.15%""}, {""tech"": ""dns"", ""freq"": ""16.62%""}, {""tech"": ""tcp"", ""freq"": ""12.0%""}, {""tech"": ""directory"", ""freq"": ""10.46%""}, {""tech"": ""oracle"", ""freq"": ""7.08%""}, {""tech"": ""unix"", ""freq"": ""6.77%""}]",2018,12
administrator,2019-01-01,"[{""tech"": ""windows"", ""freq"": ""59.55%""}, {""tech"": ""sql"", ""freq"": ""46.07%""}, {""tech"": ""server"", ""freq"": ""23.22%""}, {""tech"": ""ip"", ""freq"": ""20.22%""}, {""tech"": ""linux"", ""freq"": ""18.73%""}, {""tech"": ""dns"", ""freq"": ""16.48%""}, {""tech"": ""tcp"", ""freq"": ""13.48%""}, {""tech"": ""web"", ""freq"": ""10.11%""}, {""tech"": ""vpn"", ""freq"": ""8.24%""}, {""tech"": ""directory"", ""freq"": ""7.87%""}]",2019,01
administrator,2019-02-01,"[{""tech"": ""windows"", ""freq"": ""65.48%""}, {""tech"": ""sql"", ""freq"": ""43.55%""}, {""tech"": ""server"", ""freq"": ""30.0%""}, {""tech"": ""linux"", ""freq"": ""24.19%""}, {""tech"": ""ip"", ""freq"": ""21.61%""}, {""tech"": ""dns"", ""freq"": ""16.77%""}, {""tech"": ""tcp"", ""freq"": ""15.48%""}, {""tech"": ""directory"", ""freq"": ""11.61%""}, {""tech"": ""oracle"", ""freq"": ""10.0%""}, {""tech"": ""excel"", ""freq"": ""9.35%""}]",2019,02
administrator,2019-03-01,"[{""tech"": ""windows"", ""freq"": ""65.74%""}, {""tech"": ""sql"", ""freq"": ""38.27%""}, {""tech"": ""server"", ""freq"": ""31.79%""}, {""tech"": ""linux"", ""freq"": ""27.16%""}, {""tech"": ""ip"", ""freq"": ""20.37%""}, {""tech"": ""dns"", ""freq"": ""14.2%""}, {""tech"": ""tcp"", ""freq"": ""12.96%""}, {""tech"": ""excel"", ""freq"": ""6.79%""}, {""tech"": ""web"", ""freq"": ""6.48%""}, {""tech"": ""directory"", ""freq"": ""6.48%""}]",2019,03
administrator,2019-04-01,"[{""tech"": ""windows"", ""freq"": ""63.97%""}, {""tech"": ""sql"", ""freq"": ""38.83%""}, {""tech"": ""server"", ""freq"": ""26.54%""}, {""tech"": ""linux"", ""freq"": ""23.46%""}, {""tech"": ""ip"", ""freq"": ""23.18%""}, {""tech"": ""dns"", ""freq"": ""18.72%""}, {""tech"": ""tcp"", ""freq"": ""14.25%""}, {""tech"": ""directory"", ""freq"": ""9.5%""}, {""tech"": ""vpn"", ""freq"": ""6.42%""}, {""tech"": ""web"", ""freq"": ""5.87%""}]",2019,04
administrator,2019-05-01,"[{""tech"": ""windows"", ""freq"": ""60.89%""}, {""tech"": ""sql"", ""freq"": ""47.23%""}, {""tech"": ""server"", ""freq"": ""28.78%""}, {""tech"": ""linux"", ""freq"": ""28.04%""}, {""tech"": ""ip"", ""freq"": ""21.4%""}, {""tech"": ""dns"", ""freq"": ""16.24%""}, {""tech"": ""tcp"", ""freq"": ""14.76%""}, {""tech"": ""directory"", ""freq"": ""14.76%""}, {""tech"": ""oracle"", ""freq"": ""5.9%""}, {""tech"": ""web"", ""freq"": ""5.17%""}]",2019,05
administrator,2019-06-01,"[{""tech"": ""windows"", ""freq"": ""66.34%""}, {""tech"": ""sql"", ""freq"": ""42.9%""}, {""tech"": ""server"", ""freq"": ""31.35%""}, {""tech"": ""ip"", ""freq"": ""23.1%""}, {""tech"": ""linux"", ""freq"": ""21.12%""}, {""tech"": ""dns"", ""freq"": ""18.48%""}, {""tech"": ""tcp"", ""freq"": ""15.84%""}, {""tech"": ""vpn"", ""freq"": ""9.9%""}, {""tech"": ""directory"", ""freq"": ""6.93%""}, {""tech"": ""unix"", ""freq"": ""6.6%""}]",2019,06
administrator,2019-07-01,"[{""tech"": ""windows"", ""freq"": ""69.05%""}, {""tech"": ""sql"", ""freq"": ""42.33%""}, {""tech"": ""server"", ""freq"": ""28.31%""}, {""tech"": ""linux"", ""freq"": ""22.75%""}, {""tech"": ""ip"", ""freq"": ""20.11%""}, {""tech"": ""dns"", ""freq"": ""16.67%""}, {""tech"": ""tcp"", ""freq"": ""13.23%""}, {""tech"": ""vpn"", ""freq"": ""7.67%""}, {""tech"": ""directory"", ""freq"": ""7.41%""}, {""tech"": ""unix"", ""freq"": ""6.61%""}]",2019,07
administrator,2019-08-01,"[{""tech"": ""windows"", ""freq"": ""62.15%""}, {""tech"": ""sql"", ""freq"": ""40.92%""}, {""tech"": ""server"", ""freq"": ""32.99%""}, {""tech"": ""ip"", ""freq"": ""26.6%""}, {""tech"": ""linux"", ""freq"": ""26.09%""}, {""tech"": ""dns"", ""freq"": ""18.41%""}, {""tech"": ""tcp"", ""freq"": ""15.86%""}, {""tech"": ""directory"", ""freq"": ""12.02%""}, {""tech"": ""vpn"", ""freq"": ""8.44%""}, {""tech"": ""excel"", ""freq"": ""6.14%""}]",2019,08
administrator,2019-09-01,"[{""tech"": ""windows"", ""freq"": ""62.67%""}, {""tech"": ""sql"", ""freq"": ""45.03%""}, {""tech"": ""server"", ""freq"": ""30.48%""}, {""tech"": ""linux"", ""freq"": ""27.57%""}, {""tech"": ""ip"", ""freq"": ""23.29%""}, {""tech"": ""dns"", ""freq"": ""21.06%""}, {""tech"": ""tcp"", ""freq"": ""15.75%""}, {""tech"": ""directory"", ""freq"": ""10.62%""}, {""tech"": ""web"", ""freq"": ""7.36%""}, {""tech"": ""oracle"", ""freq"": ""7.02%""}]",2019,09
administrator,2019-10-01,"[{""tech"": ""windows"", ""freq"": ""64.21%""}, {""tech"": ""sql"", ""freq"": ""44.56%""}, {""tech"": ""server"", ""freq"": ""30.53%""}, {""tech"": ""ip"", ""freq"": ""23.16%""}, {""tech"": ""linux"", ""freq"": ""22.46%""}, {""tech"": ""dns"", ""freq"": ""17.54%""}, {""tech"": ""tcp"", ""freq"": ""17.19%""}, {""tech"": ""directory"", ""freq"": ""8.42%""}, {""tech"": ""vpn"", ""freq"": ""8.42%""}, {""tech"": ""excel"", ""freq"": ""5.96%""}]",2019,10
administrator,2019-11-01,"[{""tech"": ""windows"", ""freq"": ""67.71%""}, {""tech"": ""sql"", ""freq"": ""36.46%""}, {""tech"": ""server"", ""freq"": ""31.77%""}, {""tech"": ""linux"", ""freq"": ""26.04%""}, {""tech"": ""ip"", ""freq"": ""18.23%""}, {""tech"": ""directory"", ""freq"": ""14.58%""}, {""tech"": ""dns"", ""freq"": ""14.06%""}, {""tech"": ""tcp"", ""freq"": ""13.02%""}, {""tech"": ""vpn"", ""freq"": ""9.9%""}, {""tech"": ""jira"", ""freq"": ""5.21%""}]",2019,11
administrator,2019-12-01,"[{""tech"": ""windows"", ""freq"": ""68.54%""}, {""tech"": ""sql"", ""freq"": ""38.58%""}, {""tech"": ""linux"", ""freq"": ""34.46%""}, {""tech"": ""server"", ""freq"": ""27.34%""}, {""tech"": ""ip"", ""freq"": ""21.72%""}, {""tech"": ""tcp"", ""freq"": ""17.98%""}, {""tech"": ""bash"", ""freq"": ""17.98%""}, {""tech"": ""vhdl"", ""freq"": ""17.23%""}, {""tech"": ""sh"", ""freq"": ""17.23%""}, {""tech"": ""dns"", ""freq"": ""15.36%""}]",2019,12
